Run,Std,Rep,A,B,C,D,kombinasyon,yanit,deger
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Sapma,1.46
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,114
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Skor,7.2
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Enerji,5.72
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Sapma,1.55
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,112
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Skor,7.17
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Enerji,5.7
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Sapma,3.26
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,137
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Skor,8.59
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Enerji,9.01
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Sapma,3.32
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,135
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Skor,8.72
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Enerji,8.68
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Sapma,2.2
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,163
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Skor,6.8
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Enerji,8.11
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Sapma,2.03
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,148
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Skor,6.84
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Enerji,7.89
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Sapma,4.16
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,201
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Skor,7.87
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Enerji,11.05
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Sapma,4.11
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,198
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Skor,8.11
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Enerji,11.01
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Sapma,1.94
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,151
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Skor,7.81
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Enerji,7.86
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Sapma,2.02
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,152
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Skor,7.76
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Enerji,7.66
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Sapma,4.06
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,185
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Skor,9.11
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Enerji,11.38
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Sapma,4.27
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,180
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Skor,9.13
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Enerji,11.32
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Sapma,2.58
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Toparlanma,210
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Skor,6.8
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Enerji,9.92
14,7,2,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Sapma,2.56
14,7,2,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Toparlanma,217
14,7,2,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Skor,6.81
14,7,2,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Enerji,9.95
15,8,1,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Sapma,4.94
15,8,1,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Toparlanma,260
15,8,1,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Skor,7.78
15,8,1,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Enerji,13.74
16,8,2,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Sapma,4.94
16,8,2,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Toparlanma,257
16,8,2,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Skor,7.57
16,8,2,Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,Enerji,13.66
17,9,1,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Sapma,1.15
17,9,1,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Toparlanma,88
17,9,1,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Skor,7.59
17,9,1,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Enerji,6.44
18,9,2,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Sapma,1.21
18,9,2,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Toparlanma,92
18,9,2,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Skor,7.67
18,9,2,Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,Enerji,6.46
19,10,1,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Sapma,3.04
19,10,1,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Toparlanma,112
19,10,1,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Skor,8.92
19,10,1,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Enerji,9.47
20,10,2,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Sapma,2.96
20,10,2,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Toparlanma,106
20,10,2,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Skor,9.05
20,10,2,Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,Enerji,9.75
21,11,1,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Sapma,1.76
21,11,1,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Toparlanma,122
21,11,1,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Skor,7.28
21,11,1,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Enerji,8.91
22,11,2,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Sapma,1.68
22,11,2,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Toparlanma,136
22,11,2,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Skor,7.05
22,11,2,Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,Enerji,8.9
23,12,1,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Sapma,3.68
23,12,1,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Toparlanma,162
23,12,1,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Skor,8.34
23,12,1,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Enerji,12.04
24,12,2,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Sapma,3.63
24,12,2,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Toparlanma,163
24,12,2,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Skor,8.17
24,12,2,Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,Enerji,11.98
25,13,1,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Sapma,1.45
25,13,1,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Toparlanma,123
25,13,1,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Skor,8.14
25,13,1,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Enerji,8.65
26,13,2,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Sapma,1.49
26,13,2,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Toparlanma,119
26,13,2,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Skor,8.14
26,13,2,Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,Enerji,8.44
27,14,1,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Sapma,3.58
27,14,1,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Toparlanma,149
27,14,1,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Skor,9.31
27,14,1,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Enerji,12.16
28,14,2,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Sapma,3.61
28,14,2,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Toparlanma,146
28,14,2,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Skor,9.5
28,14,2,Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,Enerji,12.33
29,15,1,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Sapma,1.93
29,15,1,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Toparlanma,188
29,15,1,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Skor,7.21
29,15,1,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Enerji,10.75
30,15,2,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Sapma,2.08
30,15,2,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Toparlanma,191
30,15,2,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Skor,7.18
30,15,2,Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,Enerji,10.85
31,16,1,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Sapma,4.34
31,16,1,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Toparlanma,227
31,16,1,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Skor,8.08
31,16,1,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Enerji,14.31
32,16,2,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Sapma,4.26
32,16,2,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Toparlanma,228
32,16,2,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Skor,8.06
32,16,2,Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,Enerji,14.41
